2026-02-11 13:12:30 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=87
2026-02-11 13:12:30 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.06%, vol=35
2026-02-11 13:12:30 | XMRUSDT | Blocked by: orderbook_quality | spread=0.01%, vol=8
2026-02-11 13:13:08 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=23
2026-02-11 13:13:09 | XMRUSDT | Blocked by: orderbook_quality | spread=0.03%, vol=8
2026-02-11 13:13:09 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=6
2026-02-11 13:13:09 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=13
2026-02-11 13:13:09 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.06%, vol=34
2026-02-11 13:13:09 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=41
2026-02-11 13:13:10 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=85
2026-02-11 13:13:49 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=20
2026-02-11 13:13:49 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=61
2026-02-11 13:13:49 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=1
2026-02-11 13:13:49 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=29
2026-02-11 13:13:49 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.12%, vol=43
2026-02-11 13:13:50 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=7
2026-02-11 13:13:50 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=72
2026-02-11 13:14:28 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.08%, vol=31
2026-02-11 13:14:28 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=56
2026-02-11 13:14:28 | XMRUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=11
2026-02-11 13:14:28 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=37
2026-02-11 13:14:28 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=6
2026-02-11 13:14:28 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=33
2026-02-11 13:14:29 | ZECUSDT | Blocked by: orderbook_quality | spread=0.01%, vol=97
2026-02-11 13:15:07 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=58
2026-02-11 13:15:07 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=19
2026-02-11 13:15:07 | PAXGUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=26
2026-02-11 13:15:07 | XMRUSDT | Blocked by: orderbook_quality | spread=0.02%, vol=6
2026-02-11 13:15:07 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.08%, vol=28
2026-02-11 13:15:08 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=3
2026-02-11 13:15:08 | ZECUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=109
2026-02-11 13:15:45 | CLANKERUSDT | Blocked by: orderbook_quality | spread=0.10%, vol=42
2026-02-11 13:15:46 | BTCUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=6
2026-02-11 13:15:46 | ETHUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=19
2026-02-11 13:15:46 | XAUTUSDT | Blocked by: orderbook_quality | spread=0.00%, vol=46
